UNIPROT.K562	gene_name	mf	method.K562	final_score.K562	UNIPROT.LAMA84	method.LAMA84	final_score.LAMA84	conc
Q9NRG9	AAAS	other	proteoscore	-0.289915	NA	NA	NA	NA
Q5JTZ9	AARS2	other	proteoscore	0.340176	NA	NA	NA	NA
Q9NY61	AATF	other	proteoscore	-0.513554	NA	NA	NA	NA
O15439	ABCC4	other	proteoscore	0.433729	NA	NA	NA	NA
Q96AP0	ACD	other	proteoscore	-0.754239	NA	NA	NA	NA
Q99798	ACO2	other	proteoscore	0.325821	NA	NA	NA	NA
P00813	ADA	other	proteoscore	0.629318	NA	NA	NA	NA
P78536	ADAM17	other	proteoscore	-0.825965	NA	NA	NA	NA
Q9H013	ADAM19	other	proteoscore	2.34601	NA	NA	NA	NA
P48960	ADGRE5	other	proteoscore	-0.703242	NA	NA	NA	NA
Q16186	ADRM1	other	proteoscore	-0.360602	NA	NA	NA	NA
Q6ZN18	AEBP2	tf	proteoscore	-2.03021	NA	NA	NA	NA
P35573	AGL	other	proteoscore	0.310292	NA	NA	NA	NA
O00468	AGRN	other	proteoscore	1.50497	NA	NA	NA	NA
Q8WYP5	AHCTF1	other	proteoscore	-0.261083	NA	NA	NA	NA
O95831	AIFM1	other	proteoscore	0.415753	NA	NA	NA	NA
Q13155	AIMP2	other	proteoscore	-0.267861	NA	NA	NA	NA
P31749	AKT1	kin	PhosphoScore	0.530181	NA	NA	NA	NA
P22557	ALAS2	other	proteoscore	1.39706	NA	NA	NA	NA
P05091	ALDH2	other	proteoscore	0.365158	NA	NA	NA	NA
P49189	ALDH9A1	other	proteoscore	0.259003	NA	NA	NA	NA
Q9H553	ALG2	other	proteoscore	-0.466363	NA	NA	NA	NA
P09917	ALOX5	other	proteoscore	1.59069	NA	NA	NA	NA
Q9C0C7	AMBRA1	other	proteoscore	-0.657591	NA	NA	NA	NA
P17707	AMD1	other	proteoscore	-1.82328	NA	NA	NA	NA
Q9UJX3	ANAPC7	other	proteoscore	-0.294007	NA	NA	NA	NA
P16157	ANK1	other	proteoscore	0.22547	NA	NA	NA	NA
Q12955	ANK3	other	proteoscore	0.530705	NA	NA	NA	NA
Q9NQW6	ANLN	other	proteoscore	-1.38244	NA	NA	NA	NA
Q92688	ANP32B	other	proteoscore	0.457725	NA	NA	NA	NA
P04083	ANXA1	other	proteoscore	0.377085	NA	NA	NA	NA
P12429	ANXA3	other	proteoscore	0.450948	NA	NA	NA	NA
P08133	ANXA6	other	proteoscore	0.323566	NA	NA	NA	NA
P02649	APOE	other	proteoscore	1.5635	NA	NA	NA	NA
P53367	ARFIP1	other	proteoscore	-0.308085	NA	NA	NA	NA
Q53QZ3	ARHGAP15	other	proteoscore	-0.697186	NA	NA	NA	NA
Q9NRY4	ARHGAP35	other	PhosphoScore	-1.77667	NA	NA	NA	NA
Q13017	ARHGAP5	other	proteoscore	-1.40218	NA	NA	NA	NA
