UNIPROT	gene_name	mf	method	final_score
Q2M2I8	AAK1	kin	proteoscore	0.242081
Q5JTZ9	AARS2	other	proteoscore	-1.81673
P33527	ABCC1	other	proteoscore	0.686738
O15439	ABCC4	other	proteoscore	-0.460952
Q8NE71	ABCF1	other	proteoscore	-1.52511
P00519;P00519	ABL1	kin	VIPER+PhosphoScore	-2.0226015776056685
P42684	ABL2	kin	PhosphoScore	-2.61097
Q12979	ABR	other	proteoscore	2.1232
Q13085	ACACA	other	PhosphoScore	0.898983
O00763	ACACB	other	proteoscore	2.51545
P11310	ACADM	other	proteoscore	-1.59405
P49748	ACADVL	other	proteoscore	-0.81158
Q15027	ACAP1	other	proteoscore	4.12656
P24752	ACAT1	other	proteoscore	-0.280993
Q96AP0	ACD	other	proteoscore	-1.86572
P53396	ACLY	other	proteoscore	-0.795473
Q99798	ACO2	other	proteoscore	0.214632
Q15067	ACOX1	other	proteoscore	-1.80058
P33121	ACSL1	other	proteoscore	1.10597
O60488	ACSL4	other	proteoscore	0.349548
Q9ULC5	ACSL5	other	proteoscore	4.30155
Q9NR19	ACSS2	other	proteoscore	-0.430412
P60709	ACTB	other	proteoscore	3.63132
O96019	ACTL6A	tf	proteoscore	-0.279324
P12814	ACTN1	tf	proteoscore	0.530804
O43707	ACTN4	tf	proteoscore	-1.83609
P61160	ACTR2	other	proteoscore	0.709391
P61158	ACTR3	other	proteoscore	1.08897
Q9H9F9	ACTR5	other	proteoscore	-2.28621
Q04771	ACVR1	kin	proteoscore	-1.13674
P27037	ACVR2A	kin	VIPER	-0.1073446173387252
Q13705	ACVR2B	kin	VIPER	-0.6000335912804299
P00813	ADA	other	proteoscore	-1.24419
P78536	ADAM17	other	proteoscore	0.46044
O75689	ADAP1	other	proteoscore	2.15578
P55265	ADAR	other	proteoscore	-2.58807
P35611	ADD1	other	proteoscore	-0.318097
P35612	ADD2	other	proteoscore	-2.8823
Q9UEY8	ADD3	other	proteoscore	0.786347
P48960	ADGRE5	other	proteoscore	-2.63664
Q9Y653	ADGRG1	other	proteoscore	2.83339
P55263	ADK	kin	proteoscore	-0.439658
Q16186	ADRM1	other	proteoscore	-0.388454
P30566	ADSL	other	proteoscore	1.15152
Q6ZN18	AEBP2	tf	proteoscore	1.18562
P51825	AFF1	other	proteoscore	-0.617838
P51826	AFF3	tf	proteoscore	2.0539
Q9UHB7	AFF4	other	proteoscore	-1.25016
P02771	AFP	other	proteoscore	0.608346
Q99490;Q99490	AGAP2	other	proteoscore	2.25759
Q53H12	AGK	kin	proteoscore	-1.66095
P35573	AGL	other	proteoscore	-1.48275
O00468	AGRN	other	proteoscore	-2.3809
Q8WYP5	AHCTF1	other	proteoscore	-0.396221
Q96HN2	AHCYL2	other	proteoscore	1.78209
Q5TGY3	AHDC1	tf	proteoscore	-1.9487
Q09666	AHNAK	other	proteoscore	-7.20844
O95433	AHSA1	other	proteoscore	0.751333
O95831	AIFM1	other	proteoscore	-0.95816
Q9BRQ8	AIFM2	other	proteoscore	-1.40243
Q92667	AKAP1	other	proteoscore	0.843235
Q9UKA4	AKAP11	other	proteoscore	-0.607535
Q12802	AKAP13	other	proteoscore	3.17988
O43823	AKAP8	other	proteoscore	0.788254
Q9ULX6	AKAP8L	other	proteoscore	-1.74512
Q99996	AKAP9	other	proteoscore	1.97611
P52895	AKR1C2	other	proteoscore	0.521938
P42330	AKR1C3	other	proteoscore	-4.22819
P31749	AKT1	kin	PhosphoScore	1.6521
Q96B36	AKT1S1	other	proteoscore	-2.01931
P31751	AKT2	kin	proteoscore	0.444743
P00352	ALDH1A1	other	proteoscore	-5.6969900000000004
O94788	ALDH1A2	other	proteoscore	-6.66767
P05091	ALDH2	other	proteoscore	1.59121
P51648	ALDH3A2	other	proteoscore	2.51705
P51649	ALDH5A1	other	proteoscore	-2.75866
P49189	ALDH9A1	other	proteoscore	0.54961
P04075	ALDOA	other	proteoscore	-0.496942
P09972	ALDOC	other	proteoscore	0.819555
Q9BT22	ALG1	other	proteoscore	-3.25804
Q2TAA5	ALG11	other	proteoscore	-1.1239
Q9H553	ALG2	other	proteoscore	-2.92919
P17707	AMD1	other	proteoscore	0.531318
Q9UKV5	AMFR	other	proteoscore	0.381895
Q8IY63	AMOTL1	other	proteoscore	-2.07906
Q9H1A4	ANAPC1	other	PhosphoScore	-3.87717
Q9UM13	ANAPC10	other	proteoscore	-0.510252
Q9NYG5	ANAPC11	other	proteoscore	0.466594
Q9UJX6	ANAPC2	other	proteoscore	0.870018
Q9UJX5	ANAPC4	other	proteoscore	0.694555
Q9UJX4	ANAPC5	other	proteoscore	0.299009
Q9UJX3	ANAPC7	other	proteoscore	-1.1699600000000001
Q15389	ANGPT1	other	proteoscore	3.11721
P16157	ANK1	other	proteoscore	-4.76362
Q12955	ANK3	other	proteoscore	-0.643388
Q8IZ07	ANKRD13A	other	proteoscore	0.656277
O15084	ANKRD28	other	proteoscore	-0.37684
P39687	ANP32A	other	proteoscore	-6.78101
Q92688	ANP32B	other	proteoscore	0.860977
P04083	ANXA1	other	proteoscore	-3.80339
