gene_name	UNIPROT	difference	significant	logpval
A2M	P01023	-0.177841	NA	0.11067100000000001
AAAS	Q9NRG9	-0.289915	+	2.7060399999999998
AACS	Q86V21	-0.169867	NA	0.61012900000000003
AAGAB	Q6PD74	-0.564075	+	2.0180600000000002
AAK1	Q2M2I8	-0.365333	+	2.4586800000000002
AAMDC	Q9H7C9	0.856991	+	3.1709299999999998
AAMP	Q13685	-1.05682	+	5.5619800000000001
AAR2	Q9Y312	-0.486424	+	1.97088
AARS2	Q5JTZ9	0.340176	+	3.9248099999999999
AARSD1	Q9BTE6	0	NA	NaN
AASDHPPT	Q9NRN7	0.0480127	NA	0.16599700000000001
AATF	Q9NY61	-0.513554	+	3.9163600000000001
ABCA2	Q9BZC7	0	NA	NaN
ABCA3	Q99758	0.292304	NA	0.33569599999999999
ABCB10	Q9NRK6	1.00072	+	3.4557600000000002
ABCB6	Q9NP58	1.16253	+	4.0557800000000004
ABCB7	O75027	0.484179	+	2.67666
ABCB8	Q9NUT2	0.601205	+	1.1570100000000001
ABCC1	P33527	0.233795	NA	2.12276
ABCC4	O15439	0.433729	+	2.4780000000000002
ABCD1	P33897	0.9867	+	4.82097
ABCD3	P28288	-0.480296	+	1.5683199999999999
ABCE1	P61221	-0.388548	+	4.97173
ABCF1	Q8NE71	-0.323164	+	5.1698399999999998
ABCF2	Q9UG63	-0.937845	+	6.7380699999999996
ABCF3	Q9NUQ8	-0.152255	NA	1.85842
ABHD10	Q9NUJ1	0.307209	+	3.1507299999999998
ABHD11	Q8NFV4	0.599428	+	3.6707700000000001
ABHD12	Q8N2K0	0.319215	NA	1.25823
ABHD14A	Q9BUJ0	2.39929	NA	0.80213100000000004
ABHD14B	Q96IU4	0.410694	+	2.8390599999999999
ABHD16A	O95870	0.327267	+	3.49186
ABHD17B	Q5VST6	0.377847	NA	0.50885899999999995
ABHD3	Q8WU67	0.229515	NA	0.16184399999999999
ABHD4	Q8TB40	1.16276	+	1.64994
ABHD5	Q8WTS1	1.46718	+	4.42197
ABI1	Q8IZP0	0.172075	NA	1.01969
ABL1	P00519	0.312298	+	2.35528
ABL2	P42684	-0.931265	+	2.5915499999999998
ABLIM2	Q6H8Q1	0.789681	+	1.6053500000000001
ABR	Q12979	0	NA	NaN
ABRACL	Q9P1F3	-0.465515	NA	0.54840599999999995
ABT1	Q9ULW3	-0.354723	NA	1.26125
ACAA1	P09110	0.0104885	NA	7.3599399999999995E-2
ACAA2	P42765	0.728074	+	4.8885199999999998
ACACA	Q13085	-0.409595	+	6.4612299999999996
ACACB	O00763	0	NA	NaN
ACAD10	Q6JQN1	1.13149	+	3.2462300000000002
ACAD8	Q9UKU7	0.748968	+	3.2271200000000002
ACAD9	Q9H845	0.241113	NA	2.0221
ACADL	P28330	0	NA	NaN
ACADM	P11310	0.462001	+	5.1152300000000004
ACADS	P16219	0.975972	+	6.0757199999999996
ACADSB	P45954	0.892669	+	4.87134
ACADVL	P49748	0.433615	+	4.86069
ACAP1	Q15027	0	NA	NaN
ACAP2	Q15057	0.0211325	NA	0.21594099999999999
ACAT1	P24752	0.671038	+	4.1810900000000002
ACAT2	Q9BWD1	0.122207	NA	1.02711
ACBD3	Q9H3P7	-0.140992	NA	1.09795
ACBD5	Q5T8D3	0.124231	NA	0.15279400000000001
ACD	Q96AP0	-0.754239	+	2.63137
ACIN1	Q9UKV3	0.0142164	NA	0.190857
ACLY	P53396	0.0133357	NA	0.115823
ACO1	P21399	0.38732	+	5.2930799999999998
