gene_name	Names	Type	final_score.ima	final_score.res	Difference.SENS.Ima_SENS.CTRL	Difference.RES.CTRL_SENS.CTRL	C..method.res	C..GOBP.slim.name_	C..KEGG.name_	T..UNIPROT.ima	T..mf	T..method.ima	T..UNIPROT.res	N..Size	N..P.value	N..Benj..Hoch..FDR
AKT1	alcohol metabolic process	GOBP slim name	0.530181	1.6521	0.114141	0.157146	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	211	0.00179449	0.00907035
AKT1	carbohydrate transport	GOBP slim name	0.530181	1.6521	-0.247736	-0.131745	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	201	7.34104e-6	1.85528e-4
AKT1	cell activation	GOBP slim name	0.530181	1.6521	0.0170277	0.15036	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	418	1.75784e-4	0.00180993
AKT1	energy reserve metabolic process	GOBP slim name	0.530181	1.6521	0.254654	0.231017	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	87	4.03098e-4	0.00294898
AKT1	generation of precursor metabolites and energy	GOBP slim name	0.530181	1.6521	0.1958	0.136839	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	140	0.00169297	0.00871566
AKT1	homeostatic process	GOBP slim name	0.530181	1.6521	0.136567	0.0510676	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	683	1.41422e-5	2.80824e-4
AKT1	mitochondrion organization	GOBP slim name	0.530181	1.6521	0.0201596	0.168819	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	131	0.017614	0.0461952
AKT1	response to heat	GOBP slim name	0.530181	1.6521	-0.168546	-0.0568896	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	336	1.60016e-4	0.00177938
AKT1	response to oxidative stress	GOBP slim name	0.530181	1.6521	0.116036	-0.037768	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	218	0.0163124	0.043189
AKT1	translation	GOBP slim name	0.530181	1.6521	0.00967778	0.27453	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	173	7.04995e-6	1.95989e-4
