gene_name	description	receptor	carnival_activity.res	UNIPROT.res	final_score.res	method.res	discordant.res	mf.res	carnival_activity.sens	UNIPROT.sens	final_score.sens	method.sens	discordant.sens	mf.sens	uniprotswissprot
ACADM	acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]	NA	-100	P11310	-1.59405	proteoscore	FALSE	other	100	P11310	0.462001	proteoscore;proteoscore	FALSE	other	P11310
ACD	ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]	NA	-100	Q96AP0	-1.86572	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q96AP0
ACLY	ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115]	NA	-100	P53396	-0.795473	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P53396
ACSS2	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	NA	-100	Q9NR19	-0.430412	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9NR19
ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	NA	100	P60709	3.63132	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P60709
ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	NA	-100	O43707	-1.83609	proteoscore	FALSE	tf	NA	NA	NA	NA	NA	NA	O43707
ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	NA	100	P78536	0.46044	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P78536
ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	NA	-100	P35611	-0.318097	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P35611
AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	NA	-100	Q09666	-7.20844	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q09666
AKAP13	A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]	NA	100	Q12802	3.17988	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q12802
AKAP9	A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	NA	100	Q99996	1.97611	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q99996
AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	NA	-100	P31749	1.6521	PhosphoScore	TRUE	kin	100	P31749	NA	CARNIVAL	FALSE	kin	P31749
ALDH1A2	aldehyde dehydrogenase 1 family member A2 [Source:HGNC Symbol;Acc:HGNC:15472]	NA	-100	O94788	-6.66767	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O94788
AMFR	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	y	100	Q9UKV5	0.381895	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9UKV5
ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	NA	-100	Q9H1A4	-3.87717	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9H1A4
ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	NA	100	Q15389	3.11721	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q15389
ANP32A	acidic nuclear phosphoprotein 32 family member A [Source:HGNC Symbol;Acc:HGNC:13233]	NA	-100	P39687	-6.78101	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P39687
ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	NA	-100	P04083	-3.80339	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P04083
AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	NA	-100	Q96CW1	-1.79247	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q96CW1
APAF1	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:HGNC:576]	NA	100	O14727	1.40506	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	O14727
APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	NA	100	P25054	0.64621	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	P25054
APC_C	NA	NA	-100	SIGNOR-C150	NA	CARNIVAL	FALSE	complex	NA	NA	NA	NA	NA	NA	NA
APLP2	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	NA	-100	Q06481	-1.69698	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q06481
AP_2_COMPLEX	NA	NA	-100	SIGNOR-C245	NA	CARNIVAL	FALSE	complex	NA	NA	NA	NA	NA	NA	NA
ARAF	"A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]"	NA	-100	P10398	-1.7108795	PhosphoScore	FALSE	kin	NA	NA	NA	NA	NA	NA	P10398
ARHGAP26	Rho GTPase activating protein 26 [Source:HGNC Symbol;Acc:HGNC:17073]	NA	100	Q9UNA1	2.28346	proteoscore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9UNA1
ARHGAP35	Rho GTPase activating protein 35 [Source:HGNC Symbol;Acc:HGNC:4591]	NA	-100	Q9NRY4	-2.65068	PhosphoScore	FALSE	other	NA	NA	NA	NA	NA	NA	Q9NRY4
