gene_name	UNIPROT	difference	significant	logpval
A2M	P01023	0.28240100000000001	NA	0.67207099999999997
AAAS	Q9NRG9	-2.2852899999999999E-2	NA	0.125282
AACS	Q86V21	2.95282	+	8.1231200000000001
AAGAB	Q6PD74	-1.8366899999999999	+	0.78805999999999998
AAK1	Q2M2I8	0.24208099999999999	+	2.8022100000000001
AAMDC	Q9H7C9	-2.2513100000000001	+	4.3310199999999996
AAMP	Q13685	-0.46248099999999998	+	3.1045600000000002
AAR2	Q9Y312	-0.21059900000000001	NA	0.47181800000000002
AARS2	Q5JTZ9	-1.81673	+	5.2981800000000003
AARSD1	Q9BTE6	3.4073500000000001	+	4.8113799999999998
AASDHPPT	Q9NRN7	-2.8725999999999998	+	5.6772200000000002
AATF	Q9NY61	7.4995000000000006E-2	NA	0.59462800000000005
ABCA2	Q9BZC7	2.0734300000000001	+	2.7871000000000001
ABCA3	Q99758	0.17228199999999999	NA	0.146229
ABCB10	Q9NRK6	-0.64747600000000005	+	2.4937900000000002
ABCB6	Q9NP58	-0.36036699999999999	+	1.01308
ABCB7	O75027	0.69197699999999995	+	3.0503800000000001
ABCB8	Q9NUT2	-0.69461600000000001	+	1.4298900000000001
ABCC1	P33527	0.68673799999999996	+	3.6808800000000002
ABCC4	O15439	-0.46095199999999997	+	1.35273
ABCD1	P33897	-1.7361200000000001	+	4.4417099999999996
ABCD3	P28288	3.1893699999999997E-2	NA	7.6450699999999996E-2
ABCE1	P61221	-1.9898900000000001E-2	NA	0.34762500000000002
ABCF1	Q8NE71	-1.52511	+	6.8677900000000003
ABCF2	Q9UG63	-0.16773299999999999	+	3.3738800000000002
ABCF3	Q9NUQ8	-0.404086	+	4.8069600000000001
ABHD10	Q9NUJ1	-3.6992099999999999	+	1.2754300000000001
ABHD11	Q8NFV4	-4.08582	+	4.6738200000000001
ABHD12	Q8N2K0	0.14177600000000001	NA	0.228023
ABHD14A	Q9BUJ0	3.9089100000000001	+	1.73149
ABHD14B	Q96IU4	-1.5191300000000001	+	4.1246700000000001
ABHD16A	O95870	-2.21637	+	7.5682900000000002
ABHD17B	Q5VST6	2.07552	+	3.7088899999999998
ABHD3	Q8WU67	-1.5207299999999999	+	1.27965
ABHD4	Q8TB40	2.5319699999999998	+	3.4335200000000001
ABHD5	Q8WTS1	-0.784331	+	2.68974
ABI1	Q8IZP0	-0.243674	NA	1.0122199999999999
ABL1	P00519	-3.82985	+	5.5727099999999998
ABL2	P42684	-1.28877	+	2.9135
ABLIM2	Q6H8Q1	-7.2890300000000005E-2	NA	4.7427999999999998E-2
ABR	Q12979	2.1232000000000002	+	3.5460099999999999
ABRACL	Q9P1F3	4.8740899999999998	+	4.7578899999999997
ABT1	Q9ULW3	-0.34371400000000002	+	3.6694
ACAA1	P09110	0.23824200000000001	+	1.40299
ACAA2	P42765	0.43013000000000001	+	4.0287199999999999
ACACA	Q13085	-0.153057	+	3.44001
ACACB	O00763	2.51545	+	3.1185299999999998
ACAD10	Q6JQN1	-0.91668099999999997	+	1.35232
ACAD8	Q9UKU7	1.25424	+	4.3533600000000003
ACAD9	Q9H845	0.58212900000000001	+	4.71089
ACADL	P28330	4.5713299999999997	+	4.3550500000000003
ACADM	P11310	-1.59405	+	5.1049699999999998
ACADS	P16219	1.04301	+	4.0315899999999996
ACADSB	P45954	1.0332699999999999	+	3.2972899999999998
ACADVL	P49748	-0.81157999999999997	+	6.9189999999999996
ACAP1	Q15027	4.1265599999999996	+	7.2565600000000003
ACAP2	Q15057	-0.43645600000000001	+	4.9192200000000001
ACAT1	P24752	-0.28099299999999999	+	1.96913
ACAT2	Q9BWD1	-1.7803599999999999	+	10.051600000000001
ACBD3	Q9H3P7	-1.0470200000000001	+	4.6043900000000004
ACBD5	Q5T8D3	-1.52362	+	2.4390800000000001
ACD	Q96AP0	-1.86572	+	2.0776599999999998
ACIN1	Q9UKV3	7.3452900000000002E-2	NA	1.1795800000000001
ACLY	P53396	-0.79547299999999999	+	7.2536399999999999
ACO1	P21399	-1.9449000000000001	NA	0.52684699999999995
ACO2	Q99798	0.21463199999999999	+	3.0173299999999998
ACOT11	Q8WXI4	2.8407300000000002	+	5.0686299999999997
ACOT13	Q9NPJ3	-2.0380400000000001	+	0.97253000000000001
ACOT7	O00154	0.85607	+	5.7225299999999999
ACOT8	O14734	-0.165524	NA	6.2371900000000001E-2
ACOT9	Q9Y305	-0.76338700000000004	+	2.1941000000000002
ACOX1	Q15067	-1.8005800000000001	+	6.9771099999999997
ACOX3	O15254	-1.1607400000000001	+	1.1306499999999999
ACP1	P24666	1.7182800000000002E-2	NA	0.16306699999999999
ACP2	P11117	-2.5065900000000001	+	1.8249599999999999
ACSF2	Q96CM8	1.5986499999999999	+	0.64841000000000004
ACSF3	Q4G176	-2.99857	+	4.7496900000000002
ACSL1	P33121	1.1059699999999999	+	4.1296200000000001
ACSL3	O95573	-2.3941499999999998	+	8.2433399999999999
ACSL4	O60488	0.34954800000000003	+	3.3344999999999998
ACSL5	Q9ULC5	4.3015499999999998	+	8.6235999999999997
ACSL6	Q9UKU0	-1.29914	+	1.01997
ACSM3	Q53FZ2	-5.6060699999999999	+	4.3989399999999996
ACSS2	Q9NR19	-0.43041200000000002	+	2.4682400000000002
ACTB	P60709	3.6313200000000001	+	3.7895099999999999
ACTBL2	Q562R1	0.33408900000000002	NA	0.67208599999999996
ACTL6A	O96019	-0.27932400000000002	+	2.0628500000000001
ACTN1	P12814	0.53080400000000005	+	5.0796400000000004
ACTN4	O43707	-1.83609	+	8.4171899999999997
ACTR10	Q9NZ32	0.25359100000000001	NA	0.85084899999999997
ACTR1A	P61163	0.49693500000000002	+	3.4281299999999999
ACTR1B	P42025	-7.1580400000000002E-2	NA	0.44169000000000003
ACTR2	P61160	0.70939099999999999	+	5.1397500000000003
ACTR3	P61158	1.08897	+	5.6394599999999997
ACTR3B	Q9P1U1	2.1314899999999999	+	2.4588899999999998
ACTR5	Q9H9F9	-2.2862100000000001	+	4.4264599999999996
ACTR6	Q9GZN1	-0.95194800000000002	+	1.8881300000000001
ACTR8	Q9H981	-1.2609499999999999E-2	NA	1.15029E-2
ACVR1	Q04771	-1.1367400000000001	+	2.2411500000000002
ACY1	Q03154	-5.2289700000000003	+	6.6553100000000001
ACYP1	P07311	0.933894	+	3.9619399999999998
ACYP2	P14621	-0.78661899999999996	+	0.66398599999999997
ADA	P00813	-1.2441899999999999	+	2.2879800000000001
ADAL	Q6DHV7	-1.6232	+	3.23949
ADAM10	O14672	-6.8392300000000003E-2	NA	0.36422500000000002
