gene_name	Names	class	Type	final_score.ima	final_score.res	Difference.SENS.Ima_SENS.CTRL	Difference.RES.CTRL_SENS.CTRL	C..method.res	C..GOBP.slim.name_	C..KEGG.name_	T..UNIPROT.ima	T..mf	T..method.ima	T..UNIPROT.res	N..Size	N..P.value	N..Benj..Hoch..FDR	combined_score.ima	combined_score.res
AKT1	alcohol metabolic process	all_up	GOBP slim name	0.530181	1.6521	0.114141	0.157146	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	211	0.00179449	0.00907035	0.060515389521	0.2596209066
AKT1	cell activation	all_up	GOBP slim name	0.530181	1.6521	0.0170277	0.15036	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	418	1.75784e-4	0.00180993	0.0090277630137	0.24840975599999998
AKT1	energy reserve metabolic process	all_up	GOBP slim name	0.530181	1.6521	0.254654	0.231017	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	87	4.03098e-4	0.00294898	0.135012712374	0.38166318569999996
AKT1	generation of precursor metabolites and energy	all_up	GOBP slim name	0.530181	1.6521	0.1958	0.136839	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	140	0.00169297	0.00871566	0.1038094398	0.22607171189999997
AKT1	homeostatic process	all_up	GOBP slim name	0.530181	1.6521	0.136567	0.0510676	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	683	1.41422e-5	2.80824e-4	0.072405228627	0.08436878195999999
AKT1	mitochondrion organization	all_up	GOBP slim name	0.530181	1.6521	0.0201596	0.168819	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	131	0.017614	0.0461952	0.0106882368876	0.2789058699
AKT1	translation	all_up	GOBP slim name	0.530181	1.6521	0.00967778	0.27453	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	173	7.04995e-6	1.95989e-4	0.00513097507818	0.45355101299999995
BTK	B cell receptor signaling pathway	tardive	KEGG name	-0.417899	0.656484	-0.205	0.0904322	proteoscore	amine transport;anatomical structure development;biological regulation;biosynthetic process;cell activation;cell differentiation;cell maturation;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;developmental maturation;developmental process;establishment of localization;hormone transport;immune system process;macromolecule metabolic process;macromolecule modification;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;peptidyl-amino acid modification;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;response to biotic stimulus;response to chemical stimulus;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;secretion;signal transduction;transport	B cell receptor signaling pathway;Fc epsilon RI signaling pathway;Osteoclast differentiation;Primary immunodeficiency	Q06187	kin	proteoscore	Q06187	79	0.00683246	0.0368286	0.08566929499999999	0.0593672923848
BTK	Fc epsilon RI signaling pathway	tardive	KEGG name	-0.417899	0.656484	-0.258326	0.163131	proteoscore	amine transport;anatomical structure development;biological regulation;biosynthetic process;cell activation;cell differentiation;cell maturation;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;developmental maturation;developmental process;establishment of localization;hormone transport;immune system process;macromolecule metabolic process;macromolecule modification;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;peptidyl-amino acid modification;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;response to biotic stimulus;response to chemical stimulus;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;secretion;signal transduction;transport	B cell receptor signaling pathway;Fc epsilon RI signaling pathway;Osteoclast differentiation;Primary immunodeficiency	Q06187	kin	proteoscore	Q06187	87	8.39079e-5	0.00264909	0.107954177074	0.107092891404
CDC42BPA	cellular component movement	all_down	GOBP slim name	-0.343517	-3.72542	-0.0483865	-0.100635	proteoscore	biological regulation;cell motility;cellular component movement;cellular component organization;cellular metabolic process;cellular process;cytoskeleton organization;establishment of localization;locomotion;macromolecule metabolic process;macromolecule modification;metabolic process;organelle organization;phosphorus metabolic process;primary metabolic process;protein metabolic process;protein modification process;protein phosphorylation;response to stimulus;signal transduction	NA	Q5VT25	kin	proteoscore	Q5VT25	897	1.96915e-4	0.00182475	0.0166215853205	0.3749076417
