gene_name	Names	Type	final_score.ima	final_score.res	Difference.SENS.Ima_SENS.CTRL	Difference.RES.CTRL_SENS.CTRL	C..method.res	C..GOBP.slim.name_	C..KEGG.name_	T..UNIPROT.ima	T..mf	T..method.ima	T..UNIPROT.res	N..Size	N..P.value	N..Benj..Hoch..FDR
AKT1	response to oxidative stress	GOBP slim name	0.530181	1.6521	0.116036	-0.037768	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	218	0.0163124	0.043189
AKT1	B cell receptor signaling pathway	KEGG name	0.530181	1.6521	-0.205	0.0904322	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	79	0.00683246	0.0368286
AKT1	Chemokine signaling pathway	KEGG name	0.530181	1.6521	-0.100452	0.208972	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	101	0.00149031	0.0143199
AKT1	Endometrial cancer	KEGG name	0.530181	1.6521	-0.145964	0.148357	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	84	0.00790694	0.0416056
AKT1	ErbB signaling pathway	KEGG name	0.530181	1.6521	-0.182285	0.0069995	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	169	0.00272139	0.0200476
AKT1	Fc epsilon RI signaling pathway	KEGG name	0.530181	1.6521	-0.258326	0.163131	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	87	8.39079e-5	0.00264909
AKT1	Jak-STAT signaling pathway	KEGG name	0.530181	1.6521	-0.212929	0.146786	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	53	0.00911434	0.0468435
AKT1	MAPK signaling pathway	KEGG name	0.530181	1.6521	-0.0766819	0.129906	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	216	0.00236117	0.0193266
AKT1	mTOR signaling pathway	KEGG name	0.530181	1.6521	-0.247977	0.0377903	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	103	9.55908e-4	0.0124268
AKT1	T cell receptor signaling pathway	KEGG name	0.530181	1.6521	-0.217752	0.0286166	PhosphoScore	aging;alcohol metabolic process;amine metabolic process;anatomical structure development;biological regulation;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;catabolic process;cell activation;cell death;cell development;cell differentiation;cell proliferation;cellular component organization;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;coagulation;death;developmental process;energy reserve metabolic process;establishment of localization;generation of precursor metabolites and energy;homeostatic process;immune system process;macromolecule metabolic process;macromolecule modification;membrane organization;metabolic process;mitochondrion organization;multicellular organismal process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;organelle organization;peptidyl-amino acid modification;phosphorus metabolic process;plasma membrane organization;polysaccharide metabolic process;primary metabolic process;protein catabolic process;protein metabolic process;protein modification by small protein conjugation or removal;protein modification process;protein phosphorylation;protein transport;regulation of body fluid levels;regulation of cell cycle;regulation of organelle organization;regulation of protein modification process;regulation of translation;regulation of transport;response to abiotic stimulus;response to chemical stimulus;response to endogenous stimulus;response to external stimulus;response to extracellular stimulus;response to heat;response to oxidative stress;response to stimulus;response to stress;RNA metabolic process;signal transduction;small molecule metabolic process;transcription initiation, DNA-dependent;translation;transport	Acute myeloid leukemia;Adipocytokine signaling pathway;Apoptosis;B cell receptor signaling pathway;Carbohydrate digestion and absorption;Chagas disease (American trypanosomiasis);Chemokine signaling pathway;Chronic myeloid leukemia;Colorectal cancer;Endometrial cancer;ErbB signaling pathway;Fc epsilon RI signaling pathway;Fc gamma R-mediated phagocytosis;Focal adhesion;Glioma;Hepatitis C;Insulin signaling pathway;Jak-STAT signaling pathway;ko05152;MAPK signaling pathway;Measles;Melanoma;mTOR signaling pathway;Neurotrophin signaling pathway;Non-small cell lung cancer;Osteoclast differentiation;Pancreatic cancer;Pathways in cancer;Progesterone-mediated oocyte maturation;Prostate cancer;Renal cell carcinoma;Small cell lung cancer;T cell receptor signaling pathway;Tight junction;Toll-like receptor signaling pathway;Toxoplasmosis;VEGF signaling pathway	P31749	kin	PhosphoScore	P31749	112	0.00268137	0.0204339
