gene_name	UNIPROT	difference	significant	logpval
0	P07305	1.25552	+	4.7796000000000003
10	Q92522	1.59321	+	8.8056199999999993
2	P16403	1.22934	+	2.5470899999999999
3	P16402	0.872142	+	1.70122
5	P16401	0.594122	+	3.80124
A	P04439	-0.498494	+	1.56515
A2M	P01023	0.321085	NA	0.46416499999999999
AAAS	Q9NRG9	-0.0410259	NA	0.29056799999999999
AACS	Q86V21	-1.67844	+	2.9471400000000001
AAGAB	Q6PD74	-0.630409	+	2.7445300000000001
AAK1	Q2M2I8	-0.545634	+	2.3150400000000002
AAMDC	Q9H7C9	0.522969	+	4.5726100000000001
AAMP	Q13685	-0.538348	+	3.80226
AAR2	Q9Y312	-0.343774	NA	1.17801
AARS1	P49588	-0.139054	NA	1.0722100000000001
AARS2	Q5JTZ9	0.154564	NA	0.93989299999999998
AASDH	Q4L235	-0.86936	+	1.39869
AASDHPPT	Q9NRN7	-0.374578	+	1.5218499999999999
AASS	Q9UDR5	0.544702	NA	0.37019099999999999
AATF	Q9NY61	-0.096545	NA	0.65970799999999996
ABAT	P80404	0.388106	NA	0.48791099999999998
ABCB1	P08183	-0.00628304	NA	8.0689899999999998E-3
ABCB10	Q9NRK6	0.59264	+	5.8303200000000004
ABCB11	O95342	0	NA	NaN
ABCB7	O75027	0.444587	+	3.96265
ABCB8	Q9NUT2	-0.0499442	NA	9.0694999999999998E-2
ABCB9	Q9NP78	0.47016	NA	0.190333
ABCC1	P33527	-0.0898869	NA	0.54553600000000002
ABCC4	O15439	0.0852435	NA	0.70938999999999997
ABCC6	O95255	-1.39574	NA	0.57464999999999999
ABCD1	P33897	-0.265359	NA	0.63756400000000002
ABCD3	P28288	-0.972782	+	5.8582299999999998
ABCE1	P61221	-0.300256	+	3.0344899999999999
ABCF1	Q8NE71	-0.274985	+	3.0817399999999999
ABCF2	Q9UG63	-0.995427	+	5.8852799999999998
ABCF3	Q9NUQ8	-0.122544	NA	1.1789700000000001
ABHD10	Q9NUJ1	0.66703	+	3.8772799999999998
ABHD11	Q8NFV4	0.646387	+	2.1663000000000001
ABHD12	Q8N2K0	0.493394	+	3.2298399999999998
ABHD14B	Q96IU4	0.332459	+	3.5986600000000002
ABHD16A	O95870	0.204849	NA	1.5500400000000001
ABHD17A	Q96GS6	0.701989	+	2.32626
ABHD17B	Q5VST6	0.356103	NA	0.17383699999999999
ABHD3	Q8WU67	0.524603	NA	0.81426500000000002
ABHD4	Q8TB40	0.945962	+	1.2698499999999999
ABHD5	Q8WTS1	0.543905	+	1.67195
ABI1	Q8IZP0	-0.185523	NA	0.79027999999999998
ABI2	Q9NYB9	0.563236	+	1.38985
ABL1	P00519	-0.304508	NA	1.00874
ABL2	P42684	-0.931496	+	2.58555
ABLIM1	O14639	-1.66379	+	2.22573
ABR	Q12979	0.0175712	NA	6.4165799999999999E-3
ABRACL	Q9P1F3	-0.126348	NA	3.8236899999999997E-2
ABRAXAS1	Q6UWZ7	0.732325	+	1.8728199999999999
ABRAXAS2	Q15018	0.299063	+	2.84809
ABT1	Q9ULW3	0.154487	NA	0.758046
ACAA1	P09110	-0.121829	NA	0.85592599999999996
ACAA2	P42765	0.613808	+	2.4570799999999999
ACACA	Q13085	-0.56136	+	6.0432600000000001
ACAD10	Q6JQN1	1.09937	+	3.5258500000000002
ACAD11	Q709F0	-1.29935	+	2.1244999999999998
ACAD8	Q9UKU7	0.677004	+	6.4198899999999997
ACAD9	Q9H845	0.237809	NA	1.1247
ACADM	P11310	0.567364	+	4.1818600000000004
ACADS	P16219	0.78707	+	3.5752100000000002
ACADSB	P45954	0.786859	+	6.3808999999999996
ACADVL	P49748	0.389379	+	3.5825200000000001
ACAP1	Q15027	-0.317764	NA	1.60016
ACAP2	Q15057	-0.217558	NA	2.0582099999999999
ACAT1	P24752	0.415182	+	2.1200800000000002
ACAT2	Q9BWD1	-0.172894	NA	1.41811
ACBD3	Q9H3P7	0.043817300000000003	NA	0.17658199999999999
ACBD5	Q5T8D3	-2.07884	+	1.8903700000000001
ACBD6	Q9BR61	-0.286055	NA	1.26109
ACIN1	Q9UKV3	0.322293	+	3.4316399999999998
ACLY	P53396	-0.161297	NA	1.8353299999999999
ACO1	P21399	0.230886	+	2.89758
ACO2	Q99798	0.137846	NA	1.7621899999999999
ACOT1	Q86TX2	0.96286	+	2.1568100000000001
ACOT11	Q8WXI4	-0.19476	NA	0.23358699999999999
ACOT13	Q9NPJ3	0.281679	+	2.02976
ACOT7	O00154	-0.393894	+	2.8323200000000002
ACOT8	O14734	-0.0205228	NA	6.8974099999999997E-2
ACOT9	Q9Y305	0.41651	+	2.9751599999999998
ACOX1	Q15067	-0.528067	+	3.0250400000000002
ACOX3	O15254	0.18463	NA	1.5787100000000001
ACP1	P24666	-0.100517	NA	0.49461699999999997
ACP2	P11117	0.421543	+	1.3318399999999999
ACSF2	Q96CM8	0.892895	+	4.4686000000000003
ACSF3	Q4G176	0.746458	+	4.8538199999999998
ACSL1	P33121	0.30107	NA	1.71478
ACSL3	O95573	0.00548387	NA	3.9339699999999998E-2
ACSL4	O60488	-0.270434	+	5.0180100000000003
ACSL5	Q9ULC5	-0.0402529	NA	0.28844799999999998
ACSM3	Q53FZ2	0.765015	+	6.2679400000000003
ACSS1	Q9NUB1	1.20137	+	5.0162599999999999
ACSS2	Q9NR19	0.242488	+	2.8433799999999998
ACTB	P60709	-0.0773489	NA	0.18862400000000001
ACTBL2	Q562R1	-0.909704	+	1.1565799999999999
ACTG1	P63261	2.33257	+	3.5274100000000002
ACTL6A	O96019	0.0384848	NA	0.256295
ACTN1	P12814	-0.301622	+	2.6679400000000002
ACTN4	O43707	-0.422809	+	2.4836
ACTR10	Q9NZ32	-0.134139	NA	0.64808699999999997
ACTR1A	P61163	-0.303714	+	1.9281900000000001
ACTR1B	P42025	0.287125	NA	1.07039
ACTR2	P61160	-0.131208	NA	0.60545899999999997
ACTR3	P61158	-0.189561	NA	1.24996
ACTR5	Q9H9F9	0.202519	NA	1.2073499999999999
ACTR6	Q9GZN1	0.470197	+	1.95018
ACTR8	Q9H981	-0.290342	+	2.6250900000000001
ACVR1	Q04771	0.982762	NA	0.49202699999999999
ACYP1	P07311	0.271492	NA	1.80254
ACYP2	P14621	-0.151301	NA	0.35114600000000001
ADA	P00813	-0.186244	NA	0.45453300000000002
ADAL	Q6DHV7	0.267569	NA	1.62626
ADAM10	O14672	-0.528173	+	3.2180900000000001
ADAM15	Q13444	-0.538615	+	2.0650499999999998
ADAM17	P78536	-0.930026	NA	0.70230800000000004
ADAM9	Q13443	0.396929	NA	1.1669099999999999
ADAMTS17	Q8TE56	1.61463	NA	0.81336299999999995
ADAR	P55265	0.134238	NA	0.84187999999999996
ADARB1	P78563	1.06439	NA	0.90328600000000003
ADAT2	Q7Z6V5	-0.0971086	NA	0.39232099999999998
ADAT3	Q96EY9	0.528527	+	1.20943
ADCK1	Q86TW2	0.472255	NA	0.45828999999999998
ADCK5	Q3MIX3	0.133545	NA	0.114125
ADCY6	O43306	0	NA	NaN
ADD1	P35611	0.340034	+	2.2025000000000001
ADD2	P35612	0.561091	+	3.0156000000000001
ADD3	Q9UEY8	-0.0734684	NA	0.192049
ADGB	Q8N7X0	-0.726913	NA	0.32153999999999999
ADGRE2	Q9UHX3	0.078388	NA	3.9294799999999998E-2
ADGRE5	P48960	0.40957	NA	0.77120100000000003
ADGRF1	Q5T601	-0.50592	NA	0.282781
ADGRG1	Q9Y653	-0.611389	+	1.8190900000000001
ADH5	P11766	0.0874403	NA	0.80063600000000001
ADI1	Q9BV57	-0.464986	+	2.0316000000000001
ADK	P55263	0.122725	NA	0.69169999999999998
ADNP	Q9H2P0	0.274889	+	2.7877999999999998
ADNP2	Q6IQ32	0.649608	+	1.4821299999999999
ADO	Q96SZ5	-0.413159	+	1.7249300000000001
ADPGK	Q9BRR6	-0.206043	NA	0.60969099999999998
ADPRH	P54922	-0.287889	NA	0.56939600000000001
ADPRM	Q3LIE5	0.756521	NA	0.53530699999999998
ADPRS	Q9NX46	-0.0914552	NA	0.27608199999999999
ADRM1	Q16186	-0.0465872	NA	0.109274
ADSL	P30566	-0.136363	NA	2.6469399999999998
ADSS2	P30520	-0.477194	+	3.5782099999999999
AEBP2	Q6ZN18	0.463329	NA	0.717638
AFDN	P55196	0.627345	NA	0.60821700000000001
AFF1	P51825	-0.74628	+	1.3308199999999999
AFF4	Q9UHB7	0.457669	+	2.1071499999999999
AFG1L	Q8WV93	0.236506	NA	0.76214000000000004
AFG3L2	Q9Y4W6	0.190621	NA	1.6361699999999999
AFMID	Q63HM1	0.649111	NA	0.97535799999999995
AFP	P02771	0.164021	NA	0.32153900000000002
AFTPH	Q6ULP2	-0.884092	+	2.3844500000000002
AGA	P20933	0.460833	+	2.4757400000000001
AGAP1	Q9UPQ3	0.499868	+	2.0024799999999998
AGAP2	Q99490	0.626244	+	1.77573
AGAP3	Q96P47	-0.0449698	NA	7.7870599999999998E-2
AGFG1	P52594	-0.0757082	NA	0.28339199999999998
AGFG2	O95081	0.966743	+	1.68689
AGK	Q53H12	0.337119	+	3.24648
AGL	P35573	-0.0264843	NA	0.29034700000000002
AGO1	Q9UL18	0.286205	NA	0.30996600000000002
AGO2	Q9UKV8	-0.0768783	NA	0.58909699999999998
AGO3	Q9H9G7	0.909476	NA	0.52268099999999995
AGPAT1	Q99943	0.399083	+	2.70153
AGPAT2	O15120	0.426898	NA	0.22814899999999999
AGPAT3	Q9NRZ7	0.193401	NA	1.3409500000000001
AGPAT5	Q9NUQ2	0.356308	+	2.4710200000000002
AGPS	O00116	-0.671597	+	4.2593100000000002
AGTRAP	Q6RW13	0.548494	+	1.67588
AHCTF1	Q8WYP5	0.0405486	NA	0.29815399999999997
AHCY	P23526	-0.369988	+	6.5926499999999999
AHCYL1	O43865	-0.0632493	NA	0.80570699999999995
AHNAK	Q09666	-0.0772445	NA	0.572384
AHR	P35869	-0.639294	NA	0.58428100000000005
AHSA1	O95433	-0.405555	+	3.0597699999999999
AHSG	P02765	0.360785	NA	0.70419399999999999
AIDA	Q96BJ3	0.363704	NA	1.1646399999999999
AIFM1	O95831	0.189263	NA	1.18231
AIFM2	Q9BRQ8	0.121145	NA	0.854881
AIG1	Q9NVV5	0.368587	NA	1.2420599999999999
AIMP1	Q12904	-0.172136	NA	2.2903699999999998
AIMP2	Q13155	-0.279029	NA	1.7005600000000001
AIP	O00170	-0.488865	+	3.0808599999999999
AK1	P00568	1.19299	+	3.49586
AK2	P54819	-0.0400069	NA	0.14814099999999999
AK3	Q9UIJ7	0.465229	+	2.4542199999999998
AK4	P27144	0.083781	NA	0.380494
AK6	Q9Y3D8	-1.03508	+	5.4313200000000004
AKAP1	Q92667	-0.579555	+	1.84734
AKAP10	O43572	-0.743267	+	2.2410700000000001
AKAP11	Q9UKA4	-1.39923	+	1.5160499999999999
AKAP12	Q02952	0.474383	NA	0.210122
